ID 			Name 	 Parts 	 In Sets 	 Wanted 	 For Sale 	 Color Timeline 
56 			Light Pink 	 6 	 12 	 322 	 56 	 1994 - 2007 
Transparent Colors
 ID 			Name 	 Parts 	 In Sets 	 Wanted 	 For Sale 	 Color Timeline 
12 			Trans-Clear 	 842 	 4397 	 2260 	 1058 	 1950 - 2020 
13 			Trans-Black 	 407 	 1570 	 1041 	 476 	 1999 - 2020 
17 			Trans-Red 	 199 	 3343 	 820 	 264 	 1969 - 2020 
18 			Trans-Neon Orange 	 208 	 1015 	 622 	 307 	 1993 - 2020 
98 			Trans-Orange 	 178 	 1592 	 551 	 249 	 2003 - 2020 
164 			Trans-Light Orange 	 36 	 22 	 269 	 72 	 2003 - 2006 
121 			Trans-Neon Yellow 	 26 	 33 	 282 	 76 	 2001 - 2006 
19 			Trans-Yellow 	 199 	 2220 	 679 	 265 	 1969 - 2020 
16 			Trans-Neon Green 	 221 	 1075 	 606 	 280 	 1990 - 2020 
108 			Trans-Bright Green 	 142 	 397 	 459 	 181 	 2006 - 2020 
221 			Trans-Light Green 	 9 	 3 	 85 	 19 	 2005 - 2006 
226 			Trans-Light Bright Green 	 26 	 18 	 85 	 38 	 2003 - 2006 
20 			Trans-Green 	 134 	 1355 	 566 	 185 	 1969 - 2020 
14 			Trans-Dark Blue 	 251 	 1525 	 952 	 316 	 1978 - 2020 
74 			Trans-Medium Blue 	 100 	 202 	 635 	 145 	 2001 - 2018 
15 			Trans-Light Blue 	 668 	 2412 	 1487 	 804 	 1985 - 2020 
113 			Trans-Aqua 	 36 	 38 	 308 	 47 	 2003 - 2006 
114 			Trans-Light Purple 	 17 	 18 	 157 	 31 	 2005 - 2006 
51 			Trans-Purple 	 145 	 333 	 461 	 182 	 2000 - 2020 
50 			Trans-Dark Pink 	 194 	 584 	 412 	 221 	 1998 - 2020 
107 			Trans-Pink 	 60 	 44 	 196 	 79 	 2003 - 2006 
Chrome Colors
 ID 			Name 	 Parts 	 In Sets 	 Wanted 	 For Sale 	 Color Timeline 
21 			Chrome Gold 	 52 	 265 	 1263 	 59 	 1989 - 2020 
22 			Chrome Silver 	 106 	 557 	 1849 	 176 	 1966 - 2018 
57 			Chrome Antique Brass 	 3 	 15 	 238 	 4 	 2001 - 2005 
122 			Chrome Black 	 11 	 1 	 860 	 12 	 2009 - 2009 
52 			Chrome Blue 	 5 	 14 	 290 	 17 	 1998 - 2006 
64 			Chrome Green 	 1 	 2 	 215 	 5 	 1999 - 1999 
82 			Chrome Pink 	 3 	 12 	 101 	 8 	 2001 - 2007 
Pearl Colors
 ID 			Name 	 Parts 	 In Sets 	 Wanted 	 For Sale 	 Color Timeline 
83 			Pearl White 	 4 	 8 	 355 	 16 	 2003 - 2006 
119 			Pearl Very Light Gray 	 14 	 10 	 443 	 44 	 2002 - 2004 
66 			Pearl Light Gray 	 421 	 618 	 1448 	 595 	 1993 - 2013 
95 			Flat Silver 	 874 	 2364 	 2285 	 1002 	 1998 - 2020 
77 			Pearl Dark Gray 	 566 	 897 	 2158 	 647 	 2002 - 2020 
61 			Pearl Light Gold 	 16 	 9 	 284 	 52 	 2000 - 2006 
115 			Pearl Gold 	 793 	 1716 	 2058 	 891 	 2002 - 2020 
81 			Flat Dark Gold 	 39 	 41 	 599 	 110 	 2003 - 2007 
84 			Copper 	 58 	 74 	 813 	 85 	 2001 - 2020 
78 			Metal Blue 	 41 	 21 	 305 	 52 	 2002 - 2006 
Satin Colors
